video_identifier, status
-HLcRt25GtY, Downloaded
-HPk-Tdye8c, Downloaded
-HQYQtBB57w, Downloaded
-HVE2n9sxDA, Downloaded
-HXAOzp4Qjs, Downloaded
-HPS3F9QhFU, Downloaded
-HLsnni-YkQ, Downloaded
-HZ2CPVWZLA, Downloaded
-HT2Z02yLFY, Downloaded
-HSKMk038Ho, Downloaded
-HbNwTwjPNI, Downloaded
-H_-Oger_gY, Downloaded
-HgBam5-O2c, Downloaded
-HHrVMpLKK0, Downloaded
-HaFSqzE4Nc, Downloaded
-HZD9QUQaY8, Downloaded
-HmZYYJqjeQ, Downloaded
-HONFRCuBl4, Downloaded
-He1Ivgwyxc, Downloaded
-HaSHk661h4, Downloaded
-HjxCgJAa64, Downloaded
-HtFDlInHZM, Downloaded
-HhLMq-gxXE, Downloaded
-HiHMKB4Ckg, Downloaded
-HkV3zIyRhQ, Downloaded
-HTEbymhQHY, Downloaded
-HukMpQbvJ0, Downloaded
-HU9-mop4NA, Downloaded
-Hf4w2fCuWo, Downloaded
-Ha3d3uD8q8, Downloaded
-HoUrHcBlK4, Downloaded
-HtPtc269z4, Downloaded
-Hn5WqDh9hI, Downloaded
-Ho7hyclHS8, Downloaded
-Hs-GGE2BLA, Downloaded
-HydYk7W3HY, Downloaded
-Ht7cIMt8n0, Downloaded
-Hy2neMfF_E, Downloaded
-HwJdXtHD8o, Downloaded
-Hp8Hj-3QO4, Downloaded
-I-BqKMrBbY, Downloaded
-Hvl2ZcvTUw, Downloaded
-HvEH5HeTBc, Downloaded
-I5HHyujZIY, Downloaded
-HtSfbgCm10, Downloaded
-HxBTALkZT4, Downloaded
-HqvzT2gQ3E, Downloaded
-I-yqSbPl8c, Downloaded
-HuUK1YFAIU, Downloaded
-I4BukpiMY0, Downloaded
-HZgX7HmcHg, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\nSorry about that.\n'
-I4eqnwlEgQ, Downloaded
-I6WN__Vz2A, Downloaded
-HuPy9oaG7Q, Downloaded
-HwUTj7RfJ8, Downloaded
-I0QIxBetNU, Downloaded
-IDv6_03HRU, Downloaded
-I5ogHMcECA, Downloaded
-I76tLQKa9s, Downloaded
-HkrU56u7nQ, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\nSorry about that.\n'
-I81FIummqY, Downloaded
-I9D8V2YNds, Downloaded
-HtwhH_Zmeg, Downloaded
-I6qGyQ69XY, Downloaded
-I4hD97tGQM, Downloaded
-IAoM441Lvg, Downloaded
-IENKCQdaVc, Downloaded
-IElB_PdPwc, Downloaded
-I6NNUznWRQ, Downloaded
-I52PjWCP_U, Downloaded
-IPNSFVU890, Downloaded
-ICEa3_eQp4, Downloaded
-IKInag2cxw, Downloaded
-IEPj0qrBC0, Downloaded
-INbxORBv5M, Downloaded
-ID_b309SOg, Downloaded
-IDt7xy5zf4, Downloaded
-IBSXe-OrPY, Downloaded
-IDnTYY86eM, Downloaded
-IAamyWkY0k, Downloaded
-HqPIgwVH1E, b'ERROR: This video contains content from SME. who has blocked it in your country on copyright grounds.\nSorry about that.\n'
-I8dtKUUSQY, Downloaded
-IE0Ke7lUXU, Downloaded
-INM0P15ZaU, Downloaded
-IEiJoNUEw4, Downloaded
-I87hh-qEmA, Downloaded
-IB9PfKyaoE, Downloaded
-ID7HUQnT5g, Downloaded
-IFHn0nukaU, Downloaded
-IRZQEPpXm4, Downloaded
-IGwsxNxUpo, Downloaded
-INebMIVKyo, Downloaded
-IMO_tdEBLQ, Downloaded
-IUR-G4rEoE, Downloaded
-IWHOJ4_he8, Downloaded
-IKQjQ5RKFo, Downloaded
-IPckajcpnE, Downloaded
-ICTZTEbpG8, Downloaded
-IVI6KEckqk, Downloaded
-IS160042R8, Downloaded
-IXyroXDcpg, Downloaded
-IUrSyUt8zY, Downloaded
-IS9CSDhqfA, Downloaded
-IT7W5_Y3Gc, Downloaded
-IYoQNHmRY8, Downloaded
-IUCJ_h8O9c, Downloaded
-IU5bU9_AT4, Downloaded
-ISOGmnN1gE, Downloaded
-IipVJ3WK90, Downloaded
-IRZumGKjUc, Downloaded
-IUL1PN914w, Downloaded
-Igc8p2PztQ, Downloaded
-IeJ0CF3huY, Downloaded
-IX6mSXzzpw, Downloaded
-IYzRA_KMUw, Downloaded
-IfOSLZo-C0, Downloaded
-IZJwfd_FZU, Downloaded
-IVX-ERJDqE, Downloaded
-IaVYVyWmgA, Downloaded
-IVVNTOnTyQ, Downloaded
-IgRFBRzvsE, Downloaded
-IfHqYgGs6c, Downloaded
-IWwu5GfvVg, Downloaded
-IdzSs5zaP8, Downloaded
-Ikki5WXc20, Downloaded
-IV5KgKKuS8, Downloaded
-IhBg_bfydQ, Downloaded
-I_-vcckw2Q, Downloaded
-IhY55dUxug, Downloaded
-I_4nklDZLk, Downloaded
-Id7p7113w0, Downloaded
-IdzarYg7-Q, Downloaded
-Il-L3S18Us, Downloaded
-Ih3lWCWL_E, Downloaded
-IlFdaVdEyU, Downloaded
-Imyps3slXg, Downloaded
-IdoVH_aZyw, Downloaded
-IuLzMECD-U, Downloaded
-IsvfeHcfNA, Downloaded
-IgrBpkor2Y, Downloaded
-ImOkIV2Tio, Downloaded
-IpPPDYWexE, Downloaded
-IrDRBAYw6M, Downloaded
-IrIXQSmGco, Downloaded
-ImxIQ__nbQ, Downloaded
-ImGhEd4x70, Downloaded
-J5UQsKRvJw, Downloaded
-Irzehdgkpw, Downloaded
-Ipp3cqqXcM, Downloaded
-InKRIGbKoY, Downloaded
-Iw3Cgff_lM, Downloaded
-InQ5seKIXI, Downloaded
-IziRv0h9kc, Downloaded
-J6OiWBuP5A, Downloaded
-J61UB-rk8E, Downloaded
-J2SYwoG7TU, Downloaded
-IsUoYhPdDY, Downloaded
-J-2FfMVre8, Downloaded
-J0YSe36C2o, Downloaded
-J6e6tmHfG0, Downloaded
-J3LkhyhWag, Downloaded
-J6i2xeAu-8, Downloaded
-J1irncOd94, Downloaded
-JFF6T-J5g0, Downloaded
-J9DnJy-Vo4, Downloaded
-J2HUc98y9M, Downloaded
-JFaLXlhemg, Downloaded
-J2_4HNupHY, Downloaded
-IuJcCl4_ac, Downloaded
-IyoNWC725U, Downloaded
-J-DV0OBshM, Downloaded
-JDMFaGA5jE, Downloaded
-J6iATiL3EA, Downloaded
-J8NeF13oN0, Downloaded
-J78Al-knrI, Downloaded
-J2nZ2xRWWU, Downloaded
-JK27ADNhnQ, Downloaded
-JFH8BpHcHc, Downloaded
-JIRyjkAyY4, Downloaded
-JJXRa8jwig, Downloaded
-JIJSyiAA8I, Downloaded
-JIJSyiAA8I, Downloaded
-JCMUq2MWBA, Downloaded
-JHHosmq9CM, Downloaded
-JBgfjOxNaI, Downloaded
-JBYnTzE6JI, Downloaded
-JK2GKpbmTQ, Downloaded
-JHvT2pywbo, Downloaded
-JKaYA2m5zw, Downloaded
-JIvn5VWIKQ, Downloaded
-JO6FkpvG-o, Downloaded
-JSkxb6Vr0A, Downloaded
-JLmaEHB_GI, Downloaded
-JLoAK1RHCM, Downloaded
-JFUrs_s64k, Downloaded
-JODrHxjs2Q, Downloaded
-JSKMmYDYaE, Downloaded
-JOq413myGs, Downloaded
-JQc6I03ZZI, Downloaded
-JU6mYrtOwk, Downloaded
-JMdI8PKvsc, Downloaded
-JQvySyrkt4, Downloaded
-JPepIXWrlE, Downloaded
-JRejQ8kMX0, Downloaded
-JS8MDBNRho, Downloaded
-JS8FoytXyo, Downloaded
-JPtZIsJjaU, Downloaded
-JS6qUnKaes, Downloaded
-JQF0slpm3I, Downloaded
-JRT9aCAVsA, Downloaded
-JN0MXb-zi8, Downloaded
-J_n5mGVBuw, Downloaded
-JUOGYM5py4, Downloaded
-J_aUbRRp14, Downloaded
-JR-GEIOqu8, Downloaded
-JSoNOJowMY, Downloaded
-JZbI8GfyDk, Downloaded
-JatM7UUYh4, Downloaded
-JTJZtw_w2Y, Downloaded
-Je8oLOZJkE, Downloaded
-JeVEX20-U0, Downloaded
-JS1xwedseo, Downloaded
-JUOzEg8Zn8, Downloaded
-JehxiVQQ_w, Downloaded
-JcR7s6oJek, Downloaded
-JSeI8jzl_o, Downloaded
-JfDhNYe5o8, Downloaded
-JhJyBdcQ8E, Downloaded
-JV-OZ1MYUo, Downloaded
-JbR506yhck, Downloaded
-JdA1ZoNr5s, Downloaded
-JcWCLdh7uQ, Downloaded
-JvrPnzDw5E, Downloaded
-JZb7tejl9k, Downloaded
-Jxtvz35zYY, Downloaded
-JrM0r9wQ5s, Downloaded
-JgvHgc36Wc, Downloaded
-K3W2m46ezw, Downloaded
-K0IfPryIyM, Downloaded
-Jv6V0JeM0U, Downloaded
-JmuzBpxhAU, Downloaded
-K4ueg-KM3o, Downloaded
-Ji8q5l4Q0I, Downloaded
-JjLXe5cd-s, Downloaded
-Jf5tU2dLUM, Downloaded
-Jn0eYzs0HY, Downloaded
-JyMFIM_JUs, Downloaded
-JwNKpiXni4, Downloaded
-JmAezdkneo, Downloaded
-K-zWw52Haw, Downloaded
-JtnYETFwV0, Downloaded
-K-uDO6XEPA, Downloaded
-K9-uNYU8EU, Downloaded
-JnwyIyGvyg, Downloaded
-JoV12K5NGo, Downloaded
-K2-isKJ-B4, Downloaded
-K2tJsW1Eco, Downloaded
-JyH941Q89Q, Downloaded
-K5SkwWzFWI, Downloaded
-K74JEPrJJQ, Downloaded
-K5rJHyokDc, Downloaded
-K-FyDpmiWc, Downloaded
-JzjRAceuAk, Downloaded
-K2LxGKPV9c, Downloaded
-KBf8XXQVXM, Downloaded
-KEcuSsUfxU, Downloaded
-K8L_pWPqe4, Downloaded
-K-I-OSCXfI, Downloaded
-KCAjyPEU6A, Downloaded
-K37bG4kV8w, Downloaded
-K9PoZdpQjo, Downloaded
-KE9zHM2PPE, Downloaded
-K5GZPbS1j8, Downloaded
-K9NPleyN28, Downloaded
-KFRq3tLb2U, Downloaded
-JxjKXZw4Tc, Downloaded
-KEX7a0kEL4, Downloaded
-KFKxzZaojw, Downloaded
-KJynIWD8mw, Downloaded
-KGjAqrjkAk, Downloaded
-KHhxbEBK0U, Downloaded
-KE4Qn7xb2A, Downloaded
-JwcLMulYoc, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: Content Warning\nIf the owner of this video has granted you access. please sign in.\n       This video is private.\n'
-KK6HrbyK20, Downloaded
-KJQB9sHOao, Downloaded
-KRPdKOP-1c, Downloaded
-KJV3jf-g_w, Downloaded
-KFVFgToszc, Downloaded
-KMP2dNbseA, Downloaded
-KSqZByq0GM, Downloaded
-KQm9cRcNY4, Downloaded
-KTLBBoGIoY, Downloaded
-KSXdkYRtCw, Downloaded
-Kg-1k9psIs, Downloaded
-KSenkRK0EE, Downloaded
-KS4TcXps5o, Downloaded
-KViqaTb4nM, Downloaded
-KR_CwOss6E, Downloaded
-KZyAZT8NnA, Downloaded
-KU_FMbgmUE, Downloaded
-KbGSHncTZM, Downloaded
-KalbyDjVV0, Downloaded
-K_VI8YfyI0, Downloaded
-KgDtQsamjM, Downloaded
-KQPRvt8A_0, Downloaded
-Kbvyzjqc7k, Downloaded
-Ka7cGELbPg, Downloaded
-KYb1EUnFzY, Downloaded
-KllW3tO0xw, Downloaded
-KeCAxl5gPM, Downloaded
-KX8ZEdKlX4, Downloaded
-Ke-6s7IBkU, Downloaded
-KmNojM6L-A, Downloaded
-KozPReFcs4, Downloaded
-Kp1ZTCMSsQ, Downloaded
-KW8ptQGGXM, Downloaded
-Kq1xajBxPw, Downloaded
-KmkMXbZ6Bo, Downloaded
-KPNrGuq6UY, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\nSorry about that.\n'
-Ks-yFgQreg, Downloaded
-KtT7Q730Yg, Downloaded
-KhXOr0a8Pc, Downloaded
-KtI1janztU, Downloaded
-KuyyhFURRM, Downloaded
-Ksa9zLMykA, Downloaded
-KkHyoafXmw, Downloaded
-KyaJ4XK5BE, Downloaded
-KpXV80cC8M, Downloaded
-KuaZhmjJcY, Downloaded
-KwH6n_UxM0, Downloaded
-KvXI-p_QtQ, Downloaded
-KxwPEqUhBk, Downloaded
-KwT60332FU, Downloaded
-KrbeNeR3Js, Downloaded
-L-zbu4mTTI, Downloaded
-Kyrr0xORdo, Downloaded
-KyF9_0dK9c, Downloaded
-KvDvP44fxc, Downloaded
-Kzs8Emn3T8, Downloaded
-L32P5dtBTo, b''
-L1UGukkW4Y, Downloaded
-KyWot7wwlk, Downloaded
-L2L64UYDPM, Downloaded
-Kynokg-dX8, Downloaded
-KuhSa1TCGE, Downloaded
-KyTIESscnU, Downloaded
-L1EgBsU3Tk, Downloaded
-KzuR868p6E, Downloaded
-L3cTxtL8Tw, Downloaded
-Kzfq-O_qzU, Downloaded
-L074U8sOpU, Downloaded
-L1RWUfEhLg, Downloaded
-L-WOazh1xI, Downloaded
-L3CYodyiMo, Downloaded
-L9M5djRitA, Downloaded
-L4drh4h_JQ, Downloaded
-L7B14mVX4Q, Downloaded
-LF1BNdNeQg, Downloaded
-L4pLav6ICg, Downloaded
-L1mPUcEHQY, Downloaded
-LA2xX85Xvw, Downloaded
-L1yIZqIZws, Downloaded
-LDj5ED-lps, Downloaded
-LDpPLAqWi4, Downloaded
-LEobPrk_S0, Downloaded
-L6HSKDolBQ, Downloaded
-L6Mldtq6m8, Downloaded
-LGul1HYOqg, Downloaded
-LE2wN64tJw, Downloaded
-LPF0zV6OWs, Downloaded
-L7hzLXnJfA, Downloaded
-LIY-OiDBaI, Downloaded
-LISB_b8rIw, Downloaded
-LMBynHkTmQ, Downloaded
-LGrL2FoTW4, Downloaded
-LIslmfXizQ, Downloaded
-LFd-zfvOxc, Downloaded
-LHOs-lD2_c, Downloaded
-LMCI_EBJvc, Downloaded
-LSZk-kC-Nk, Downloaded
-LHB2aRRP5Q, Downloaded
-LNfj92BQ9k, Downloaded
-LRAy-ZDujU, Downloaded
-LXRdUMZxGA, Downloaded
-LT7EwlSogc, Downloaded
-LXC-Y1ldNQ, Downloaded
-LVOf40Dbqg, Downloaded
-LXRdUMZxGA, Downloaded
-LYkMFtDStQ, Downloaded
-LUM9S2RGvE, Downloaded
-LeQsXtoNg0, Downloaded
-LW9N-lKeII, Downloaded
-LbQ483o8Yg, Downloaded
-LVbgohI4HA, Downloaded
-LUrZL4YQy8, Downloaded
-LZlYnGXMOY, Downloaded
-LbmsAhfpmk, Downloaded
-LcIpOjm1JU, Downloaded
-LbB4qrpeFY, Downloaded
-LblDlF0WZ4, Downloaded
-LhtPhbgjCc, Downloaded
-LeH-ftbzMU, Downloaded
-LcLpD8icrM, Downloaded
-Lf1JVbumdw, Downloaded
-LmL8gmadXM, Downloaded
-LjUDbvVsoc, Downloaded
-LenAZs2OFM, Downloaded
-Lle7qZFavg, Downloaded
-Lgj94_XLbw, Downloaded
-LgzJAo3xn8, Downloaded
-Ljsl8tph1Y, Downloaded
-LfVDVogVyY, Downloaded
-LmFP_tfWWo, Downloaded
-Lfn8SEl_a0, Downloaded
-LmFPtnbal0, Downloaded
-LhHtsJ3eOM, Downloaded
-Lk5raoDBdA, Downloaded
-LlOyAxoTI8, Downloaded
-LsufYoWsFk, Downloaded
-LxaYFnEu2U, Downloaded
-LxB3wj8PtA, Downloaded
-Lts_reMTe0, Downloaded
-Lwhq9Y8xPM, Downloaded
-M03DxN2XaY, Downloaded
-M9djkf2nL4, Downloaded
-M-izDRnlu0, Downloaded
-MGFrY9m3ts, Downloaded
-LzKnvmJ7AQ, Downloaded
-LunCG_XZyY, Downloaded
-M-MUGWzRrA, Downloaded
-LxL-eLBrP8, Downloaded
-LqtFkJ56o8, Downloaded
-M3_7e_exd8, Downloaded
-MAYaJ5cyOE, Downloaded
-LsxVKO78Fg, Downloaded
-MIURpGIgak, Downloaded
-MHaNgO-dTQ, Downloaded
-LxWKgjP9HQ, Downloaded
-M1jqRtvvAA, Downloaded
-MG-E8R8aE4, Downloaded
-LuraEK0VBU, Downloaded
-MDR9CQSSNo, Downloaded
-MIVGt2ynYg, Downloaded
-MLaikEunpU, Downloaded
-MI0k_y73Bk, Downloaded
-M0JqAwHZBE, Downloaded
-MKN8cGeMEE, Downloaded
-MHg496wunA, Downloaded
-MLXbaQFVZw, Downloaded
-MK9dwTvOSk, Downloaded
-MOpSXQ5ZcU, Downloaded
-MA1Uor1QdY, Downloaded
-MSdmmApn2w, Downloaded
-MNfq63Q6dU, Downloaded
-MQoAkblSLc, Downloaded
-MLjvAhdJIU, Downloaded
-M6TBRFs0KA, Downloaded
-MMxEvltTLo, Downloaded
-MAGN91mrTs, Downloaded
-MLZf5JojhE, Downloaded
-MV_iN5WXuw, Downloaded
-MWEwChPyOA, Downloaded
-MXuGNBi3GA, Downloaded
-MPqy00mB-Y, Downloaded
-MP9mg2WKaY, Downloaded
-MN-Zv7zQsU, Downloaded
-MUTGKtPyX0, Downloaded
-M_6W-_8hBs, Downloaded
-M_Gc7EaIqc, Downloaded
-MagO7uMwRo, Downloaded
-MbBAkFvoEk, Downloaded
-Md3rlteUko, Downloaded
-MVG0OospiI, Downloaded
-MbGCayQySo, Downloaded
-MbMCNrww5E, Downloaded
-M_vnkSHyyw, Downloaded
-MXRKFpm7rw, Downloaded
-McLbSrRGeg, Downloaded
-MZkNqTlygo, Downloaded
-McjPs53Sz4, Downloaded
-MdxuoNU1ds, Downloaded
-MbgmB0jOpY, Downloaded
-MfVZopgATw, Downloaded
-MfAsheNpvY, Downloaded
-MfyJpCDWc0, Downloaded
-MgXP03ijj8, Downloaded
-Ml3LgqWN2w, Downloaded
-MP3lJPKpcI, b'ERROR: This video contains content from Muyap. It is not available in your country.\nSorry about that.\n'
-Mk4xYDxyuc, Downloaded
-MlZ1Gdbkos, Downloaded
-Mm1tQp0EWg, Downloaded
-MmFh2C_lMY, Downloaded
-Mnq6oko7wY, Downloaded
-MqpifyByYs, Downloaded
-MquocyvF9c, Downloaded
-MhWhInhf_A, Downloaded
-MljiBxxZKA, Downloaded
-Ml2rkk6l6o, Downloaded
-MlgcPXUZs8, Downloaded
-MrfINaJoqQ, Downloaded
-Mp3fANtF8s, Downloaded
-MoHzqIvZC8, Downloaded
-MmKCOYfKlM, Downloaded
-MomTQ4exNk, Downloaded
-Mq12W0Wg60, Downloaded
-MunbMZcftE, Downloaded
-Mso-0LPSBs, Downloaded

-4FKr03fXxA, Downloaded
-4GdVLFjMEQ, Downloaded
-4NUPGUqzJk, Downloaded
-ACVixyfMwE, Downloaded
-0NOgzGpSEY, Downloaded
--VnA3ztuZg, Downloaded
-89t2FKhgJk, Downloaded
-4iW3H1sX2U, Downloaded
--sGO9m2Was, Downloaded
-1xv-fZVa1o, Downloaded
-2tHYutKYg4, Downloaded
-AEWLj8MLPA, Downloaded
-JFru4Hfwjo, Downloaded
-2-KjcZEmrM, Downloaded
-Jw-OJAltNU, Downloaded
-I78yx4eGl0, Downloaded
-JNfr9HZc5w, Downloaded
-HvBJeRSQLA, Downloaded
-G14dELklmQ, Downloaded
-JrthcbKe60, Downloaded
-JhqTGwLRpY, Downloaded
-JoqPdVaA_o, Downloaded
-JxGutL8mz0, Downloaded
-JJpc4MUEr4, Downloaded
-FzTWhpVNFg, Downloaded
-J6snxXBSAc, Downloaded
-GE9OvW56nM, Downloaded
-K5liKxVFmk, Downloaded
-ACmDOgDvEk, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\nSorry about that.\n'
-KCuZn3n2ZU, Downloaded
-KN26OH63WU, Downloaded
-KHIKaCGKBY, Downloaded
-Ke6gUiBtZw, Downloaded
-KCyogME1ZM, Downloaded
-KMFsySTcxA, Downloaded
-KGSLTHQTh4, Downloaded
-K_573BJUgs, Downloaded
-Kp8Lxh5q1I, Downloaded
-KSm0RzIF-Y, Downloaded
-KjdJIBBwiE, Downloaded
-KsmVi6DU_c, Downloaded
-KpjAv-OkoQ, Downloaded
-KzoGGijJ58, Downloaded
-Kr0UyPskbU, Downloaded
-Kmf2zr4GeQ, Downloaded
-KxgTdpDZp8, Downloaded
-KiZNz0jO6U, Downloaded
-L9-fjz4og0, Downloaded
-L8dBCMP7eA, Downloaded
-L2Z-1ovaO8, Downloaded
-LIa47tOfxM, Downloaded
-L2Wp5NdnLk, Downloaded
-LEeXi0o528, Downloaded
-LM4UTL3PQA, Downloaded
-LEzVjPLKjE, Downloaded
-LGKIp1i3jE, Downloaded
-LQav7yKBik, Downloaded
-LLl_b7z-5E, Downloaded
-LPE4yWQKpE, Downloaded
-LSeaW6ctQA, Downloaded
-LR0gXR8c9c, Downloaded
-LPWEAwM4SI, Downloaded
-LRCbW_XcnQ, Downloaded
-LU2saCAJY4, Downloaded
-LUJwEnOPCw, Downloaded
-LTP_3-9EHc, Downloaded
-LUN6528w3I, Downloaded
-LUaKBvpWGQ, Downloaded
-LVhVVDxLVE, Downloaded
-LVgsrW9bpg, Downloaded
-LZ6lnyP0BQ, Downloaded
-LfVEXaLzmM, Downloaded
-LhTjRSC7Rk, Downloaded
-Lbm0cnNcI4, Downloaded
-LjxQbP0Njo, Downloaded
-LzyV1PtJXE, Downloaded
-Lgphwe5hDQ, Downloaded
-L_FS1uasMo, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\nSorry about that.\n'
-MB6Wxglgzw, Downloaded
-M7RnqVUjNA, Downloaded
-MDiOFWkF6U, Downloaded
-M1gaYYTnnU, Downloaded
-MCsuU2vibI, Downloaded
-MIbP6KfGXU, Downloaded
-MPMmZZevqY, Downloaded
-MFxbebFNW4, Downloaded
-MMywmwSNX0, Downloaded
-MHbQQgfzy8, Downloaded
-MUoF3Hs8QY, Downloaded
-MSkT_LSg_k, Downloaded
-MMbZo81pyo, Downloaded
-M_JUMukXLQ, Downloaded
-MYJtLnxUqY, Downloaded
-MUnM_CmUIc, Downloaded
-MbCqrnlxMY, Downloaded
-Mdbw9OE3C0, Downloaded
-MoSGGzJA8s, Downloaded
-Md6Yo6eFzc, Downloaded
-MoSli_S6hM, Downloaded
-MuuOpZyD8g, Downloaded
-MiWVXXeb6Y, Downloaded
-MldnTjJ-zE, Downloaded
-MptpziKtXY, Downloaded
-MpeW-4yt0o, Downloaded
-MsyOPTscfI, Downloaded
-MtOOEj_8VY, Downloaded
-Mo1I0I0mC8, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\nSorry about that.\n'
-MwkDN1qr2k, Downloaded
-HRksunRfnU, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-ISiG77JFcI, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-JKOYkHiTaU, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-F4yRGCrKhk, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-IKLkta_qcY, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-JfMuIHK7Yg, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-JuFFz7KyMo, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-MzzB6wbZHk, Downloaded
-MxWV6p-Qo8, Downloaded
-N2r0n5YSX4, Downloaded
-MwANbbKccQ, Downloaded
-N3AwSr67lg, Downloaded
-N-rhA_khaY, Downloaded
-N2zie9N6-Q, Downloaded
-N3OFaiPi1w, Downloaded
-N32CybTEDc, Downloaded
-N0lQ_CSINM, Downloaded
-N3ghSARXbs, Downloaded
-N4-j7MfSYE, Downloaded
-N4NGMyhAn0, Downloaded
-KJ-21e-nzs, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-N4vEATi9Mk, Downloaded
-N46de8x4EU, Downloaded
-N40ZYEsM58, Downloaded
-N5C2S2KW80, Downloaded
-N42ziQXIow, Downloaded
-N4YPzC3q9s, Downloaded
-N4G4FQ2s3U, Downloaded
-N4dQZOwvMc, Downloaded
-N5H51xoigA, Downloaded
-N5M98rR9AY, Downloaded
-N62Om6fL2w, Downloaded
-N4bZ90PuP0, Downloaded
-Kv18ApXlxU, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-N5LVZmfsIM, Downloaded
-N6KL0N3FOM, Downloaded
-N5H4SoHdBA, Downloaded
-N68S-Ze9rc, Downloaded
-N8u3wSeihI, Downloaded
-N70arWHWa8, Downloaded
-N8D6C1qpgg, Downloaded
-N8hbrSeNVQ, Downloaded
-N7_cQKqUWE, Downloaded
-L1ivK0QMSY, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-NAi85LLBoc, Downloaded
-NAz4z2qi40, Downloaded
-N8bMIwJ6YU, Downloaded
-N9FEYA5q9k, Downloaded
-LBaYqweOLA, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
-N8KafiRnQc, Downloaded
-NE4uod348M, Downloaded
-NCKMzvu56Q, Downloaded
-NEJgeUdcWs, Downloaded
-NDBDiepVVc, Downloaded
-NEOFiRd1Fw, Downloaded
-NFoRz3ikVA, Downloaded
-NCS1mBFr4w, Downloaded
-NHYByg-3NM, Downloaded
-NGG-a2TWro, Downloaded
-NFIA8tfk6Y, Downloaded
-NEW-Ou4ZfM, Downloaded
-NHfavHjfwo, Downloaded
-NJrwoSPTfo, Downloaded
-NKgPEJ_Gsk, Downloaded
-NKH6bfR-nA, Downloaded
-NM7X8TIcVs, Downloaded
-NJK2KRJqlQ, Downloaded
-NMAgPVtQ6o, Downloaded
-NM9jWuf4hM, Downloaded
-NMCL9oARSM, Downloaded
-LbgQ1huX7I, b"ERROR: Unable to download webpage: <urlopen error [Errno 111] Connection refused> (caused by URLError(ConnectionRefusedError(111. 'Connection refused')))\n"
